VendorNumber__,OrderNumber__,ItemNumber__,Description__,OrderedAmount__,OrderedQuantity__,DeliveredAmount__,DeliveredQuantity__,InvoicedAmount__,InvoicedQuantity__,TaxCode__,CompanyCode__,UnitPrice__,PartNumber__,GLAccount__,CostCenter__,BudgetID__,TaxRate__
V02810,47752,24209,FUSE CLIP,40.00,1,40.00,1,0,0,,19,,24209,110,,,
V02810,47752,17460,Freight Charge,12.00,1,12.00,1,0,0,,19,,17460,1767,,,
V02458,47756,,,27.53,,27.53,,0,0,,19,,,1309,,,
V02458,47756,2642,Manifold Shutoff Valve 246356,203.40,6,203.40,6,0,0,,19,,2642,110,,,
V02458,47757,,,67.69,,67.69,,0,0,,19,,,1309,,,
V02458,47757,13366,KIT BURST DISC,94.50,1,94.50,1,0,0,,19,,13366,110,,,
V02458,47765,,,186.06,,186.06,,0,0,,19,,,1309,,,
V02458,47765,2672,Wet Cup Kit Exp1 246962,97.20,1,97.20,1,0,0,,19,,2672,110,,,
V02458,47765,2671,KIT ACC THROAT PUMP BOT. COMPDROP SHIP,251.40,1,251.40,1,0,0,,19,,2671,110,,,
V02195,47773,,,450.00,,450.00,,0,0,,2,,,1083,,,
V02195,47773,13478,XS-BK100 "B" In 55 Gal Drum,49311.60,34800,49311.60,34800,0,0,,2,,13478,110,,,
V02195,47773,8968,BAXXODUR PC-136,4431.96,837.8,4431.96,837.8,0,0,,2,,8968,110,,,
V02458,47808,24312,KIT TUBE SUCTION,529.20,4,529.20,4,0,0,,19,,24312,110,,,
V02458,47808,12938,KIT REPAIRSEALS UPPER T2,237.00,4,237.00,4,0,0,,19,,12938,110,,,
V02458,47808,13020,KIT REPAIRSEALS LOWER T2,237.00,4,237.00,4,0,0,,19,,13020,110,,,
V02458,47808,24313,PACKING  O-RING,15.30,5,15.30,5,0,0,,19,,24313,110,,,
V02458,47808,24314,KIT BODY PUMP 2:1,614.40,2,614.40,2,0,0,,19,,24314,110,,,
V02458,47808,17460,Freight Charge,68.32,1,68.32,1,0,0,,19,,17460,1767,,,
V03517,47826,13108,2019 RAM 1500 4x4 Crew Cab VIN# 1C6RR7ST6KS593004Installation- Decals Tailgate Lock Nerf Bars GPS GeoTab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V02458,47841,10367,PRESURE TRANSDUCER,406.80,3,406.80,3,0,0,,19,,10367,110,,,
V02458,47841,12443,SENSORPRESSUREFLUIDOUTLET,792.00,2,792.00,2,0,0,,19,,12443,110,,,
V02458,47841,2241,Packing  111457,27.04,4,27.04,4,0,0,,19,,2241,110,,,
V02458,47841,12920,KIT PIN CLEVIS,112.50,2,112.50,2,0,0,,19,,12920,110,,,
V02458,47841,17460,Freight Charge,117.52,1,117.52,1,0,0,,19,,17460,1767,,,
V02994,47866,24349,GT1026 – 3 1/2” Yellow Turbo Squeegee Blade,30.00,5,30.00,5,0,0,,19,,24349,110,,,
V02994,47866,24350,EZ WING LIME,17.80,5,17.80,5,0,0,,19,,24350,110,,,
V02994,47866,24351,EZ WING PEACH,29.35,5,29.35,5,0,0,,19,,24351,110,,,
V02994,47866,24352,5 1/2” Yellow Turbo Squeegee,38.70,5,38.70,5,0,0,,19,,24352,110,,,
V03978,47867,13108,2019 RAM 1500 4x4 Crew Cab VIN# 1C6RR7STXKS599730Installation- Decals Tailgate Lock Nerf Bars GPS GeoTab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03579,47875,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST0KS596254Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03579,47877,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST1KS596263Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03579,47878,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST4KS599724Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03579,47879,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST6KS599725Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03579,47880,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST4KS601455Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03579,47881,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7STXKS599727Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03579,47882,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST1KS599728Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03579,47885,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST5KS596265Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03579,47886,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST7KS596266Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V02458,47890,,hUNTER rAYNER,1.00,,1.00,,0,0,,19,,,1767,,,
V02458,47890,12745,KITAPMIX CHAMBER,117.30,1,117.30,1,0,0,,19,,12745,110,,,
V02795,47905,,Office Supplies,21.76,,21.76,,0,0,,19,,,1897,,,
V02795,47905,,,21.76,,21.76,,0,0,,19,,,1897,,,
V02795,47905,,,10.88,,10.88,,0,0,,19,,,1897,,,
V02795,47905,,,31.71,,31.71,,0,0,,19,,,1897,,,
V02795,47905,,,4.16,,4.16,,0,0,,19,,,1897,,,
V02795,47905,,,21.76,,21.76,,0,0,,19,,,1897,,,
V02795,47905,,,38.32,,38.32,,0,0,,19,,,1897,,,
V02795,47905,,,21.76,,21.76,,0,0,,19,,,1897,,,
V02795,47905,,,14.20,,14.20,,0,0,,19,,,1116,,,
V02791,47907,,First aid kit supplies,585.08,,585.08,,0,0,,19,,,1897,,,
V03502,47941,,FORKLIFT PROPANE,72.00,,72.00,,0,0,,19,,,1070,,,
V02195,47978,13478,XS-BK100 "B" In 55 Gal Drum,49311.60,34800,49311.60,34800,0,0,,2,,13478,110,,,
V02195,47978,8968,BAXXODUR PC-1362 -DRUMS,4431.96,837.8,4431.96,837.8,0,0,,2,,8968,110,,,
V02165,47983,13327,P4342R-18kg PailREPI's Pigment Item 99430 Color = BLACK Packaged in 18kg Plastic Pail,6295.244,1278,6295.244,1278,0,0,,18,,13327,110,,,.00
V02165,47983,13296,VAT,.00,-1,.00,-1,0,0,,18,,13296,1926,,,
V03502,48071,,Propane Exchange,72.00,,72.00,,0,0,,19,,,1070,,,
V00463,48177,3171,Sia Soft Sanding Pads/Box20,2486.25,4800,2486.25,4800,0,0,,2,,3171,110,,,
