VendorNumber__,OrderNumber__,ItemNumber__,Description__,OrderedAmount__,OrderedQuantity__,DeliveredAmount__,DeliveredQuantity__,InvoicedAmount__,InvoicedQuantity__,TaxCode__,CompanyCode__,UnitPrice__,PartNumber__,GLAccount__,CostCenter__,BudgetID__,TaxRate__,ItemCategory__,Location__,Customer__,CustomerId__
V02563,47504,1,STANDARD THREADED CAP:LDPE BLUE 7/8-14STD THRD 0.625 TUBEOD:,2884.90,52500,2884.9002,52500,0,0,,19,.05495048,Z-QL-G18A,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02563,47504,2,,4.50,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V03242,47514,1,rental of water cooler,-27.06,,,,0,0,,19,,,1285,,,,,Texas : UL Houston - Distribution,,
V03502,47522,1,,72.00,,,,0,0,,19,,,1070,,,,,Texas : UL Houston - Distribution,,
V02042,47559,1,AutoGear Spray On Bedliner,375.00,1,375,1,0,0,,2,375.00,AGSPRAY 2692,110,,,,National Accounts,Alabama : Off Site Inventory,AutoNation Inc. (LINE-X),N0011
V01002,47564,1,,106.90,,,,0,0,,2,,,1084,,,,,Blending,,
V02446,47605,1,UPS FREIGHT WEEK OF JAN 26TH 2019,219.51,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V02445,47606,1,UPS FREIGHT WEEK OF JAN 26TH 2019,32.00,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V02458,47611,1,Pump T1,768.00,1,768,1,0,0,,19,768.00,G256200,110,,,,,Texas : UL OffSite Inventory,PROCOAT INC.,U0350
V02458,47611,2,Bottle Assy Complete 246995,80.70,1,80.7,1,0,0,,19,80.70,G246995,110,,,,,Texas : UL OffSite Inventory,PROCOAT INC.,U0350
V02458,47611,3,SEAL U-CUP ROD .296/255.79,63.30,2,63.3,2,0,0,,19,31.65,G117447,110,,,,,Texas : UL OffSite Inventory,PROCOAT INC.,U0350
V02458,47611,4,,314.88,,,,0,0,,19,,,1309,,,,,Texas : UL OffSite Inventory,,
V00181,47702,1,,669.00,,,,0,0,,2,,,1084,,,,,Alabama : Huntsville-Distribution,,
V02415,47711,1,freight on local chemical sales,1420.27,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V02446,47725,1,UPS FREIGHT FOR WEEK OF FEB 2 2019,153.04,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V03426,47728,1,316 STAINLESS STEEL SEAMLESS PIPE ASTM A-312,612.00,40,612,40,0,0,,19,15.30,P-96402,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V00426,47731,1,QUIN MAGENTA2 5GAL PAIL,967.20,80,967.2,80,0,0,,2,12.09,Z-JI4844R,110,,,,Pigments,Blending,,
V00426,47731,2,ORGANIC RED2 5GAL PAIL,800.80,88,800.8,88,0,0,,2,9.10,Z-JI5661R,110,,,,Pigments,Blending,,
V02810,47752,1,60 AMP FUSE,24.00,2,24,2,0,0,,19,12.00,P-400103,110,,,,,Texas : UL OffSite Inventory,CC INSULATION AND URETHANE LLC,U3658
V02810,47752,2,FUSE CLIP,40.00,1,40,1,0,0,,19,40.00,P-400127,110,,,,,Texas : UL OffSite Inventory,CC INSULATION AND URETHANE LLC,U3658
V02810,47752,3,Freight Charge,12.00,1,,,0,0,,19,12.00,Freight - UL,1767,,,,Freight : Direct,Texas : UL OffSite Inventory,,
V02458,47756,1,Manifold Shutoff Valve 246356,203.40,6,203.4,6,0,0,,19,33.90,G246356,110,,,,,Texas : UL OffSite Inventory,CC INSULATION AND URETHANE LLC,U3658
V02458,47756,2,,27.53,,,,0,0,,19,,,1309,,,,,Texas : UL OffSite Inventory,CC INSULATION AND URETHANE LLC,U3658
V02458,47757,1,KIT BURST DISC,94.50,1,94.5,1,0,0,,19,94.50,G247520,110,,,,,Texas : UL OffSite Inventory,PROCOAT INC.,U0350
V02458,47757,2,,67.69,,,,0,0,,19,,,1309,,,,,Texas : UL OffSite Inventory,PROCOAT INC.,U0350
V02458,47765,1,Wet Cup Kit Exp1 246962,97.20,1,97.2,1,0,0,,19,97.20,G246962,110,,,,,Texas : UL OffSite Inventory,STAR CUSTOMS,U2576
V02458,47765,2,KIT ACC THROAT PUMP BOT. COMPDROP SHIP,251.40,1,251.4,1,0,0,,19,251.40,G246928,110,,,,,Texas : UL OffSite Inventory,STAR CUSTOMS,U2576
V02458,47765,3,,186.06,,,,0,0,,19,,,1309,,,,,Texas : UL OffSite Inventory,STAR CUSTOMS,U2576
V02195,47773,1,XS-BK100 "B" In 55 Gal Drum,49311.60,34800,49311.6,34800,0,0,,2,1.417,Z-XS-BK100B-435LB,110,,,,Chemical : Spray Coating : XS 100,Alabama : Huntsville-Distribution,,
V02195,47773,2,BAXXODUR PC-136,4431.96,837.8,4431.962,837.8,0,0,,2,5.29,Z-PC136,110,,,,Chemical : Blended : Raw Material,Alabama : Huntsville-Distribution,,
V02195,47773,3,,450.00,,,,0,0,,2,,,1083,,,,,Alabama : Huntsville-Distribution,,
